vector,label
"[-0.05068392  0.16553774  0.04412197  0.07937367 -0.02149803 -0.30863345
  0.04475049  0.3969593  -0.09018761 -0.1621112   0.00924    -0.31799904
 -0.14444323  0.07362508  0.07971889 -0.18198436  0.03748544 -0.23681667
 -0.0054119  -0.28115562  0.12844737  0.07680777  0.11960543 -0.15600836
 -0.08865893  0.06341043 -0.14192104 -0.16818404 -0.17743018  0.0333501
  0.19576356  0.04827519  0.04686854 -0.11649061 -0.05253298  0.19990662
  0.03507651 -0.18903242 -0.08258982 -0.37469766  0.08679026 -0.1919976
 -0.09974488 -0.00595492  0.15804063 -0.00236803 -0.11107884 -0.02315258
  0.10557052  0.15252809  0.02882488 -0.15368244 -0.00074014 -0.08324801
 -0.15606025  0.1296274   0.09856176 -0.04911499 -0.18031216  0.03784301
  0.06591297  0.09450122 -0.0642067  -0.02696063 -0.22010235  0.19779484
  0.06501176  0.13778251 -0.3152259   0.27558684 -0.03589252  0.05091774
  0.14477746 -0.00775505  0.19177997  0.10224647  0.0419903  -0.0242162
 -0.17596781  0.0244537  -0.11152554 -0.03038863 -0.2019982   0.31625798
 -0.05846001  0.0375993   0.11369946  0.1533964   0.23461676  0.07726427
  0.25695342  0.03488369 -0.04427583  0.06640306  0.2755715   0.28926685
  0.04264433 -0.23734312  0.0561697  -0.01235979]",2
"[-0.05750806  0.17708677  0.04162231  0.08470393 -0.02209949 -0.33019271
  0.04801832  0.42579076 -0.10048235 -0.17384487  0.00593839 -0.3407447
 -0.15474135  0.0809576   0.08934955 -0.19541842  0.04253409 -0.24985981
 -0.00557776 -0.30486432  0.14238444  0.07784566  0.13243747 -0.16945764
 -0.09564243  0.07001865 -0.15310232 -0.177133   -0.19077045  0.03465022
  0.21230152  0.05522627  0.04918772 -0.12574767 -0.05757641  0.21485175
  0.03690505 -0.19975144 -0.09185166 -0.39691457  0.09373254 -0.20724177
 -0.10862046 -0.00559131  0.17354111 -0.00582049 -0.12320682 -0.02361031
  0.11789513  0.16301201  0.0332442  -0.1627499   0.00173087 -0.09013201
 -0.16829604  0.14229968  0.10389695 -0.05162205 -0.19217198  0.04238587
  0.07029238  0.09828429 -0.07285124 -0.02806519 -0.23685335  0.21415514
  0.0681417   0.15045154 -0.3350612   0.29748687 -0.04111396  0.05545772
  0.15700553 -0.00724719  0.20443769  0.11438444  0.04778996 -0.02404823
 -0.18529873  0.02122104 -0.12636913 -0.03390647 -0.21981752  0.3371524
 -0.06159953  0.03806955  0.12579775  0.16484205  0.25347227  0.07895766
  0.2757392   0.04056357 -0.05058194  0.07036542  0.298337    0.3129438
  0.0465996  -0.2569369   0.06196515 -0.01214952]",1
"[-0.05290271  0.17247213  0.04033637  0.07905983 -0.020274   -0.3168819
  0.04676133  0.40450242 -0.09144394 -0.16557139  0.00716117 -0.32731226
 -0.14761007  0.07729003  0.08304977 -0.18743709  0.0347317  -0.24300666
 -0.0018784  -0.2912149   0.13649505  0.07467033  0.12708223 -0.15901238
 -0.09411188  0.06806656 -0.1453579  -0.16787793 -0.1823814   0.03257925
  0.20068172  0.05057294  0.04767694 -0.11946195 -0.05561984  0.2053184
  0.03135886 -0.19256142 -0.08955519 -0.3805895   0.08774272 -0.19882284
 -0.10036336 -0.00591383  0.16767135 -0.00315164 -0.11454855 -0.02146422
  0.10765034  0.1560314   0.03059787 -0.15502591  0.00050121 -0.08297687
 -0.1617281   0.1320352   0.09943137 -0.0493128  -0.1872193   0.03637471
  0.06872325  0.09213851 -0.06758772 -0.02375026 -0.22763416  0.20179705
  0.07006775  0.1445263  -0.32307443  0.28447795 -0.03605788  0.05286476
  0.14882848 -0.00936247  0.19518515  0.1080551   0.04384949 -0.0214187
 -0.1789808   0.02061429 -0.1209472  -0.03429663 -0.2126714   0.325156
 -0.0599441   0.03769131  0.12093449  0.15999672  0.24291909  0.07801849
  0.26098198  0.03820976 -0.04683101  0.06784387  0.28532737  0.30017456
  0.04250862 -0.24379413  0.06005452 -0.01180484]",1
"[-7.61786103e-02  2.41654038e-01  5.58817200e-02  1.15658179e-01
 -2.69564558e-02 -4.54210520e-01  6.35488927e-02  5.83755553e-01
 -1.35266006e-01 -2.35832378e-01  9.40331165e-03 -4.69011128e-01
 -2.11501688e-01  1.12158857e-01  1.19819127e-01 -2.67972142e-01
  5.32921292e-02 -3.50492805e-01 -5.93131082e-03 -4.19578224e-01
  1.99989066e-01  1.08477384e-01  1.82820767e-01 -2.29971439e-01
 -1.33800581e-01  9.76866633e-02 -2.12274358e-01 -2.43611649e-01
 -2.61696845e-01  5.03381006e-02  2.88877547e-01  7.52377436e-02
  7.04193041e-02 -1.74690560e-01 -8.14276561e-02  2.96174496e-01
  4.70608808e-02 -2.77402133e-01 -1.29318565e-01 -5.49876511e-01
  1.25933751e-01 -2.85522580e-01 -1.45490140e-01 -4.01138607e-03
  2.41225645e-01 -3.67304729e-03 -1.69252172e-01 -3.49666327e-02
  1.59324095e-01  2.27653638e-01  4.27580439e-02 -2.22538367e-01
 -1.63650911e-04 -1.24566026e-01 -2.31973469e-01  1.91710159e-01
  1.39191523e-01 -7.09551796e-02 -2.69632518e-01  5.35499491e-02
  9.51099843e-02  1.32875562e-01 -9.79347825e-02 -3.43991220e-02
 -3.29635412e-01  2.92210460e-01  9.61213633e-02  2.08003893e-01
 -4.63655800e-01  4.09544557e-01 -5.36408424e-02  7.29979128e-02
  2.13509724e-01 -1.22229233e-02  2.81220853e-01  1.53393552e-01
  6.60794452e-02 -3.10816057e-02 -2.57586271e-01  3.18646692e-02
 -1.70718700e-01 -5.05711176e-02 -3.04346263e-01  4.66877729e-01
 -8.57734308e-02  5.42578623e-02  1.72286600e-01  2.30784282e-01
  3.49770516e-01  1.08858906e-01  3.77943397e-01  5.26441559e-02
 -6.81735650e-02  9.65377614e-02  4.03952628e-01  4.28964615e-01
  6.31026477e-02 -3.52793574e-01  8.59104246e-02 -1.60603002e-02]",1
"[-0.04340705  0.14313     0.03320718  0.06662159 -0.01715263 -0.26370636
  0.03709114  0.33885524 -0.07583862 -0.13754095  0.00746287 -0.27188554
 -0.12200546  0.06332371  0.0670285  -0.15759426  0.0288481  -0.20274119
 -0.00289506 -0.23940456  0.11323851  0.06259013  0.10502386 -0.133308
 -0.0771196   0.05717385 -0.12163546 -0.143696   -0.15122297  0.02650412
  0.16861893  0.04229181  0.04035466 -0.10009689 -0.04823376  0.16733216
  0.02653385 -0.1606981  -0.07230464 -0.31779423  0.07444181 -0.16563979
 -0.08675494 -0.00299638  0.13853045 -0.00216137 -0.09533192 -0.02128226
  0.09229197  0.12920685  0.0272407  -0.13083121  0.00100995 -0.07295341
 -0.13593265  0.11044256  0.08164646 -0.04026143 -0.15633671  0.02967311
  0.05557116  0.07682218 -0.05858229 -0.01957746 -0.18972032  0.16732092
  0.05700437  0.11836194 -0.26945952  0.23350672 -0.03069228  0.04245215
  0.12588055 -0.0079716   0.16259734  0.08959614  0.03604262 -0.01965704
 -0.14895876  0.01807232 -0.09772786 -0.02872235 -0.17662375  0.27015746
 -0.04915285  0.02935872  0.09988923  0.13118692  0.2015947   0.06090212
  0.21804741  0.03079429 -0.03883539  0.05587061  0.23528907  0.25287014
  0.03501245 -0.20377657  0.04773983 -0.01047204]",1
"[-6.86660260e-02  2.29607493e-01  5.75232357e-02  1.07748881e-01
 -2.85455305e-02 -4.29214954e-01  6.15985915e-02  5.49916685e-01
 -1.27200559e-01 -2.23696053e-01  1.18771289e-02 -4.39507157e-01
 -1.99084356e-01  1.03615083e-01  1.14308812e-01 -2.52485693e-01
  4.80143465e-02 -3.25051606e-01 -6.01055752e-03 -3.87862384e-01
  1.84026465e-01  1.01168826e-01  1.69740230e-01 -2.13226587e-01
 -1.23960622e-01  8.96662548e-02 -1.95139349e-01 -2.27675736e-01
 -2.45487779e-01  4.32839133e-02  2.69723773e-01  6.71846792e-02
  6.45523295e-02 -1.59751162e-01 -7.35426694e-02  2.72452623e-01
  4.81475703e-02 -2.61981130e-01 -1.18351921e-01 -5.13397634e-01
  1.19374685e-01 -2.65536189e-01 -1.35650575e-01 -5.02142729e-03
  2.22143918e-01 -4.55908664e-03 -1.54329121e-01 -3.22678238e-02
  1.48144305e-01  2.12145045e-01  4.01304476e-02 -2.12936744e-01
 -2.66635674e-04 -1.16771869e-01 -2.16323122e-01  1.79882705e-01
  1.34340286e-01 -6.60658106e-02 -2.47064844e-01  4.91876937e-02
  8.76367763e-02  1.28939345e-01 -9.16229635e-02 -3.85095589e-02
 -3.08911413e-01  2.72364289e-01  8.92424583e-02  1.92498401e-01
 -4.35424984e-01  3.79999787e-01 -5.31565808e-02  7.06111714e-02
  2.04701960e-01 -1.47402100e-02  2.59382784e-01  1.46265030e-01
  5.90377674e-02 -3.43908444e-02 -2.42964372e-01  2.92404238e-02
 -1.57403097e-01 -4.30886336e-02 -2.83926934e-01  4.36194092e-01
 -7.71529377e-02  5.06017916e-02  1.59453467e-01  2.11237893e-01
  3.25736344e-01  1.03892364e-01  3.53205770e-01  4.67097908e-02
 -6.64984733e-02  9.10065845e-02  3.81927818e-01  4.00819361e-01
  5.99390306e-02 -3.29919219e-01  7.89052024e-02 -1.69431139e-02]",1
"[-0.03920029  0.12499054  0.03095281  0.05799735 -0.01557545 -0.2326487
  0.03243263  0.2984434  -0.06993516 -0.11999208  0.0057966  -0.24129699
 -0.11033501  0.05633226  0.06218915 -0.13840902  0.02673527 -0.17729554
 -0.00180632 -0.21211667  0.09978704  0.05472228  0.0932496  -0.11779571
 -0.06645063  0.0505187  -0.10547418 -0.12564054 -0.13393381  0.02213654
  0.14736305  0.03665441  0.03422026 -0.08623616 -0.04027356  0.15156636
  0.02625717 -0.14207844 -0.06555345 -0.27978644  0.06284377 -0.14359164
 -0.07500376 -0.00330931  0.12107862 -0.00149324 -0.08406615 -0.01808913
  0.07834846  0.1169769   0.02039869 -0.11382408  0.00113849 -0.0630518
 -0.11848333  0.09713095  0.07297729 -0.03347789 -0.13699964  0.02674144
  0.04823017  0.07034209 -0.05036034 -0.01897024 -0.16757014  0.14925095
  0.04906873  0.1040284  -0.23881403  0.21068934 -0.0251946   0.03796109
  0.1101599  -0.00682045  0.14309488  0.07882251  0.03347462 -0.01719452
 -0.13232572  0.01685227 -0.08694271 -0.02462774 -0.1538309   0.23831742
 -0.04298101  0.02948202  0.08697332  0.11572023  0.17896257  0.0563735
  0.19318578  0.02582273 -0.03601011  0.04919972  0.2102363   0.21999379
  0.03204641 -0.18078615  0.04341586 -0.01014995]",2
"[-0.0465772   0.15128767  0.03791882  0.07015076 -0.01789082 -0.28523034
  0.0424228   0.3634813  -0.08384658 -0.14791963  0.00779553 -0.2928284
 -0.13216752  0.0669615   0.0754157  -0.16864103  0.03277154 -0.21744496
 -0.00518216 -0.25852916  0.12082799  0.06990445  0.11248775 -0.14296383
 -0.08356195  0.05990508 -0.13042423 -0.15479116 -0.16271797  0.02684905
  0.18031     0.04351483  0.04620035 -0.104864   -0.04778584  0.18076327
  0.03238507 -0.17198013 -0.07687525 -0.3422691   0.07943909 -0.17524335
 -0.0919668  -0.00355364  0.14706385 -0.00145209 -0.10326275 -0.02109782
  0.09579304  0.14031631  0.02780492 -0.14006008 -0.00179321 -0.07807826
 -0.14577875  0.12133266  0.09146515 -0.04288998 -0.16394365  0.03317053
  0.05749627  0.0840135  -0.06046074 -0.0269188  -0.20466608  0.18144685
  0.05864294  0.12713009 -0.28776056  0.25206536 -0.03300953  0.04700027
  0.13528658 -0.00935662  0.17404594  0.0941159   0.03949971 -0.02387781
 -0.16124186  0.02151333 -0.10391311 -0.02840337 -0.18621203  0.29047713
 -0.05029814  0.03304433  0.10373083  0.14042887  0.21816094  0.06970615
  0.23686188  0.03207461 -0.04236852  0.06072413  0.2554965   0.26900357
  0.04134001 -0.22185217  0.05182153 -0.01277367]",0
"[-0.05447179  0.17342353  0.04190049  0.08386865 -0.02018399 -0.32487467
  0.04390297  0.418853   -0.10104653 -0.17099361  0.00853384 -0.3355258
 -0.15315533  0.07914191  0.0877166  -0.19396874  0.03538323 -0.25027525
 -0.00589501 -0.29660487  0.14008352  0.07872529  0.13066718 -0.16599202
 -0.09481446  0.06696335 -0.15172811 -0.17291752 -0.18382725  0.03105849
  0.2052839   0.04978802  0.04855694 -0.12085044 -0.05827804  0.20983401
  0.03427786 -0.19798599 -0.09368306 -0.3937754   0.08646677 -0.20405748
 -0.10369278 -0.00205612  0.16917068 -0.00461401 -0.11540922 -0.02187075
  0.10968168  0.16478555  0.03099299 -0.16353284  0.004166   -0.08848248
 -0.16596773  0.1364985   0.10263716 -0.05102521 -0.19033816  0.03738365
  0.07135218  0.09925339 -0.0698479  -0.0280301  -0.23496108  0.21086864
  0.0699642   0.14794943 -0.3326121   0.2928151  -0.03949241  0.0554549
  0.15181011 -0.00664021  0.20070697  0.11206908  0.04363185 -0.0205048
 -0.18605188  0.02188756 -0.12119602 -0.0301088  -0.21614376  0.33258823
 -0.05702457  0.03789873  0.12019607  0.16104849  0.24831262  0.07976768
  0.27329382  0.03384896 -0.04904828  0.06964219  0.29251036  0.3097486
  0.04250272 -0.25315157  0.06025097 -0.01305981]",2
"[-0.06347287  0.20351712  0.04563035  0.09967704 -0.02144971 -0.3836794
  0.05799925  0.49413055 -0.11414331 -0.20232682  0.00946778 -0.39475873
 -0.17599897  0.09481297  0.10014806 -0.22538444  0.04582116 -0.29165435
 -0.00470644 -0.35493955  0.1663079   0.092113    0.15296222 -0.1909549
 -0.10907048  0.07826314 -0.17651172 -0.20276855 -0.22027722  0.03801771
  0.24284457  0.06207426  0.05840944 -0.14435768 -0.06767736  0.25000378
  0.04212427 -0.23122527 -0.10561787 -0.46034986  0.1063257  -0.23571184
 -0.12227222 -0.00635434  0.2038556  -0.00360674 -0.14554186 -0.0237279
  0.13608669  0.19197804  0.03545331 -0.1842252  -0.00114019 -0.10075832
 -0.1958272   0.15686232  0.11329645 -0.06113925 -0.22605011  0.0485969
  0.08053347  0.11296288 -0.07829712 -0.03493001 -0.27965036  0.24157709
  0.07936337  0.17725776 -0.3910588   0.34601972 -0.04354166  0.06688675
  0.18038452 -0.01557785  0.23750745  0.12807335  0.05601373 -0.03046827
 -0.21638764  0.02554355 -0.14152259 -0.04281735 -0.25643665  0.39358097
 -0.07026073  0.04368803  0.14337422  0.19444905  0.29662183  0.09314479
  0.3137762   0.04691854 -0.05962278  0.08445649  0.34530476  0.35902214
  0.05158011 -0.29452747  0.07416709 -0.01322326]",1
