text,sentiment
"Return on Invested Capital: Nearly 14%, top half of the <em>S</em>&<em>P</em> <em>500</em>.

Nearly 14%, top half of the <em>S</em>&<em>P</em> <em>500</em>. Profit Sharing: $1.4 billion recognized for employees' efforts.

$1.4 billion recognized for employees' efforts. Remuneration from American Express: Record quarterly remuneration of $1.7 billion.

Record quarterly remuneration of $1.7 billion.",0.8074
"U.S. stock futures mostly flat on Thursday : Dow +0.00%; <em>S</em>&<em>P</em> <em>500</em> +0.00%; Nasdaq +0.07%.

Currencies: (JPY:USD), (CNY:USD), (AUD:USD), (INR:USD), (HKD:USD), (NZD:USD).",0.0
"The <em>S</em>&<em>P</em> <em>500</em> lost 1% and the Nasdaq Composite fell by 1%.

“You can kiss a June interest rate cut goodbye,” Greg McBride, chief financial analyst for Bankrate, wrote in commentary issued Wednesday.",0.34
"In the US on Wednesday, Wall Street ended lower, with the Dow Jones Industrial Average down 1.1%, the <em>S</em>&<em>P</em> <em>500</em> down 1.0% and the Nasdaq Composite down 0.8%.

Inflation data from the US on Wednesday came in stronger than expected, forcing the market to reassess the timing of an easing in monetary policy.",0.34
"(You can now subscribe to our

(You can now subscribe to our ETMarkets WhatsApp channel

Traders spooked by Wednesday’s hotter-than-expected inflation print need not to worry, according to Jefferies ’ David Zervos, who says risk assets can thrive with or without interest rate cuts by the Federal Reserve.The <em>S</em>&<em>P</em> <em>500</em> Index dropped more than 1% Wednesday",-0.0201
"Otherwise, they risk tripping up a rally that carried the <em>S</em>&<em>P</em> <em>500</em> nearly 30% higher over the five months that ended in March, according to FactSet data.",-0.2732
"Today’s trending acronyms: Magnificent 7, FAANG, MAGMA, MAMAA

Facebook, Alphabet, Meta, Amazon, Microsoft, Nvidia, Netflix and Tesla have contributed to a significant portion of the growth in the Nasdaq-100 (INDEXNASDAQ: NDX) and <em>S</em>&<em>P</em> <em>500</em> (INDEXSP: .INX) indices over the last decade.",0.8402
"Since 2015, nearly a third (around 180 companies) of the <em>S</em>&<em>P</em> <em>500</em> constituents have been replaced4, often due to economic shifts, disruption, poor management, or acquisitions by larger rivals.

Furthermore, the tables below show how radically different the list of the world’s largest companies has become since 2000, compared to recent history.",-0.6808
"ETFs for a well-diversified portfolio, with growth potential

Now that we’ve explored the potential pitfalls of falling for trendy acronyms, let’s delve into ETF ideas that offer both diversification and growth potential:

BetaShares <em>S</em>&<em>P</em> <em>500</em> Equal Weight ETF

BetaShares <em>S</em>&<em>P</em> <em>500</em> Equal Weight ETF (ASX: QUS) offers investors exposure to 500 leading listed",0.5574
"The Dow tumbled 422.16 points or 1.1 percent to 38,461.51, the Nasdaq slid 136.28 points or 0.8 percent to 16,170.36 and the <em>S</em>&<em>P</em> <em>500</em> slumped 49.27 points or 1.0 percent to 5,160.64.

Meanwhile, the major European markets ended the day mixed after seeing strength earlier in the session.",0.4939
"That stacks up poorly against the 13.5% rise seen by the <em>S</em>&<em>P</em> <em>500</em> over the same window of time. And since I initially rated the company a ‘strong sell’ in January of 2021, shares have plunged 87% while the <em>S</em>&<em>P</em> <em>500</em> has generated upside of 38.8%.",0.296
"However, last year, DUSA finally hit its stride, beating the iShares Core <em>S</em>&<em>P</em> <em>500</em> ETF (IVV) with ease. This year, as momentum has not decelerated, DUSA has notched a three-month winning streak against IVV, solidly outperforming the <em>S</em>&<em>P</em> <em>500</em> index since my January article.",0.4404
"Earlier this year, it mostly worked, as out of 8 financial sector stocks it had exposure to both in the January and April versions of the portfolio that I have analyzed, only USB has surprised to the downside, while four have outperformed the <em>S</em>&<em>P</em> <em>500</em> ETF, even despite the market anticipating an interest rate cut this year, which does not look fully",0.2023
"The period is February 2017–March 2024

Conclusion

DUSA did an excellent job this year, outperforming the <em>S</em>&<em>P</em> <em>500</em> index consistently in January–March, capitalizing on last year's momentum.

Month DUSA's outperformance vs.",0.5719
